repository_name,repository_url,observation_period,total_commits,commit_frequency,unique_authors,avg_commit_size,code_churn,avg_files_per_commit,merge_commits,avg_dmm_unit_size,avg_dmm_complexity,merge_commit_rate,project_id,dataset_type,indicator_planning_effectiveness,indicator_team_collaboration,indicator_coding_discipline,indicator_implementation_stability,indicator_change_manageability,indicator_configuration_management,indicator_design_quality,author_diversity_ratio,indicator_resource_distribution,proxy_SWE_1_score,proxy_SWE_2_3_score,proxy_SWE_4_score,proxy_SWE_5_score,proxy_SUP_1_8_score,proxy_MAN_3_score,repository_aspice_readiness_score,aspice_readiness_level
apollo,https://github.com/ApolloAuto/apollo.git,2017-07-01,300,300,28,8300.253333333334,2490076,7.45,16,0.5904691523544047,0.7231462393931107,0.05333333333333334,apollo-2017-07,Public repository-derived,100.0,100.0,19.354838709677423,0.0,46.7741935483871,72.88135593220339,44.827586206896555,0.09333333333333334,6.451612903225806,73.38709677419355,21.39414163885799,33.06451612903226,36.440677966101696,73.21851649353016,68.81720430107526,48.840063975666624,Moderate
autoware,https://github.com/autowarefoundation/autoware.git,2021-11-01,1,1,1,28.0,28,1.0,0,,,0.0,autoware-2021-11,Public repository-derived,7.258064516129033,15.32258064516129,66.12903225806451,99.3423779083704,95.16129032258064,100.0,,1.0,90.32258064516128,51.20967741935484,82.73570508321745,80.64516129032258,99.6711889541852,70.16129032258064,37.634408602150536,72.42895945264182,High
autoware,https://github.com/autowarefoundation/autoware.git,2021-12-01,1,1,1,661.0,661,12.0,0,,,0.0,autoware-2021-12,Public repository-derived,7.258064516129033,15.32258064516129,40.32258064516129,99.7847528116664,41.93548387096774,100.0,,1.0,90.32258064516128,24.596774193548384,70.05366672841384,41.12903225806451,99.8923764058332,52.41935483870967,37.634408602150536,57.356144110720365,Moderate
autoware,https://github.com/autowarefoundation/autoware.git,2022-01-01,14,14,3,76.64285714285714,1073,5.5,0,,,0.0,autoware-2022-01,Public repository-derived,77.41935483870968,53.2258064516129,56.45161290322581,99.92731913121203,49.193548387096776,100.0,,0.21428571428571427,20.967741935483872,63.30645161290323,78.18946601721892,52.822580645161295,99.96365956560601,67.47311827956989,50.537634408602145,70.75159285850047,High
autoware,https://github.com/autowarefoundation/autoware.git,2022-02-01,24,24,7,40.0,960,2.125,0,,,0.0,autoware-2022-02,Public repository-derived,83.87096774193549,86.29032258064517,61.29032258064516,99.99371030943182,70.96774193548387,100.0,,0.2916666666666667,32.25806451612903,77.41935483870968,80.6420164450385,66.12903225806451,99.99685515471592,85.75268817204301,67.4731182795699,80.64390335220895,High
autoware,https://github.com/autowarefoundation/autoware.git,2022-03-01,19,19,7,48.10526315789474,914,2.6842105263157894,0,,,0.0,autoware-2022-03,Public repository-derived,82.25806451612904,86.29032258064517,58.064516129032256,99.96156300208328,61.29032258064516,100.0,,0.3684210526315789,40.32258064516129,71.7741935483871,79.01303956555776,59.677419354838705,99.98078150104163,82.5268817204301,69.6236559139785,78.33908679396504,High
autoware,https://github.com/autowarefoundation/autoware.git,2022-04-01,31,31,8,45.483870967741936,1410,2.838709677419355,0,,,0.0,autoware-2022-04,Public repository-derived,85.48387096774194,92.74193548387096,59.67741935483871,99.69180516215872,59.67741935483871,100.0,,0.25806451612903225,27.419354838709676,72.58064516129032,79.68461225849872,59.67741935483871,99.84590258107936,84.13978494623656,68.54838709677419,78.64803845178658,High
autoware,https://github.com/autowarefoundation/autoware.git,2022-05-01,37,37,6,27.513513513513512,1018,2.6486486486486487,0,,,0.0,autoware-2022-05,Public repository-derived,91.93548387096774,79.83870967741935,67.74193548387098,99.96575612912875,62.903225806451616,100.0,,0.16216216216216217,12.903225806451612,77.41935483870968,83.85384580649986,65.3225806451613,99.98287806456437,80.91397849462366,61.55913978494623,79.54960283872899,High
autoware,https://github.com/autowarefoundation/autoware.git,2022-06-01,8,8,6,10.625,85,1.25,0,,,0.0,autoware-2022-06,Public repository-derived,57.25806451612904,79.83870967741935,87.09677419354838,99.38221261530225,87.90322580645162,100.0,,0.75,74.19354838709677,72.58064516129033,93.23949340442532,87.5,99.69110630765113,89.24731182795699,70.43010752688171,86.54982961983465,High
autoware,https://github.com/autowarefoundation/autoware.git,2022-07-01,8,8,5,21.875,175,3.375,0,,,0.0,autoware-2022-07,Public repository-derived,57.25806451612904,70.96774193548387,74.19354838709677,99.44510952098415,54.83870967741936,100.0,,0.625,64.51612903225806,56.0483870967742,86.81932895404046,64.51612903225806,99.72255476049207,75.26881720430107,64.24731182795699,76.32047351710007,High
