Repository,Cluster,Predicted Readiness,Prediction Confidence,Dominant SHAP Feature
1,1,2,0.804,avg_commit_size
10,1,2,0.8,avg_commit_size
11,1,2,0.8,avg_commit_size
12,1,2,0.799,avg_commit_size
13,1,2,0.8,avg_commit_size
14,1,2,0.8,avg_commit_size
15,1,2,0.799,avg_commit_size
16,1,2,0.804,avg_commit_size
17,1,2,0.804,avg_commit_size
18,1,2,0.8,avg_commit_size
19,1,2,0.804,avg_commit_size
20,1,2,0.804,avg_commit_size
23,1,2,0.8,avg_commit_size
24,1,2,0.804,avg_commit_size
25,1,2,0.804,avg_commit_size
26,1,2,0.804,avg_commit_size
28,1,2,0.953,avg_commit_size
3,1,2,0.8,commit_frequency
31,1,2,0.8,avg_commit_size
4,1,2,0.8,avg_commit_size
5,1,2,0.8,commit_frequency
51,1,2,0.804,avg_commit_size
58,1,2,0.8,avg_commit_size
6,1,2,0.8,avg_commit_size
7,1,2,0.8,avg_commit_size
8,1,2,0.804,avg_commit_size
9,1,2,0.799,avg_commit_size
0,2,2,0.984,avg_commit_size
34,2,2,0.8,avg_commit_size
49,2,2,0.8,avg_commit_size
53,2,2,0.8,avg_commit_size
54,2,2,0.8,avg_commit_size
55,2,2,0.8,avg_commit_size
59,2,2,0.8,commit_frequency
60,2,2,0.869,avg_commit_size
61,2,2,0.8,avg_commit_size
2,3,2,0.804,avg_commit_size
21,3,2,0.8,avg_commit_size
22,3,2,0.804,avg_commit_size
27,3,2,0.8,avg_commit_size
29,3,2,0.8,avg_commit_size
30,3,2,0.8,avg_commit_size
32,3,2,0.804,avg_commit_size
33,3,2,0.8,avg_commit_size
35,3,2,0.8,avg_commit_size
36,3,2,0.8,avg_commit_size
37,3,2,0.8,avg_commit_size
38,3,2,0.8,avg_commit_size
39,3,2,0.8,avg_commit_size
40,3,2,0.804,avg_commit_size
41,3,2,0.804,avg_commit_size
42,3,2,0.804,avg_commit_size
43,3,2,0.764,avg_commit_size
44,3,2,0.804,avg_commit_size
45,3,2,0.751,avg_commit_size
46,3,2,0.576,avg_commit_size
47,3,2,0.8,avg_commit_size
48,3,2,0.764,avg_commit_size
50,3,2,0.8,avg_commit_size
52,3,2,0.8,avg_commit_size
56,3,2,0.804,avg_commit_size
57,3,2,0.8,commit_frequency
